no,nip,date,gross_percent,net,gross
QGYYNHOI-03-2022-0001651,,20220121000000,8,38.26,41.32
QGYYNHOI-03-2022-0001652,,20220121000000,8,26.84,28.99
QGYYNHOI-03-2022-0001653,,20220121000000,8,39.21,42.35
QGYYNHOI-03-2022-0001654,,20220121000000,8,35.27,38.09
QGYYNHOI-03-2022-0001655,,20220121000000,8,12.26,13.24
QGYYNHOI-03-2022-0001656,,20220121000000,8,33.36,36.03
QGYYNHOI-03-2022-0001657,,20220121000000,8,28.87,31.18
QGYYNHOI-03-2022-0001658,,20220121000000,8,17.47,18.87
QGYYNHOI-03-2022-0001659,,20220121000000,8,35.25,38.07
QGYYNHOI-03-2022-0001660,1181763764,20220121000000,8,24.30,26.24
QGYYNHOI-03-2022-0001661,,20220121000000,8,26.34,28.45
QGYYNHOI-03-2022-0001662,,20220121000000,8,7.84,8.47
QGYYNHOI-03-2022-0001663,,20220121000000,8,25.56,27.60
QGYYNHOI-03-2022-0001664,,20220121000000,8,29.96,32.36
QGYYNHOI-03-2022-0001665,,20220121000000,8,4.63,5.00
QGYYNHOI-03-2022-0001666,,20220121000000,8,20.06,21.67
QGYYNHOI-03-2022-0001667,,20220121000000,8,35.34,38.17
QGYYNHOI-03-2022-0001668,,20220121000000,8,20.35,21.98
QGYYNHOI-03-2022-0001669,,20220121000000,8,25.76,27.82
QGYYNHOI-03-2022-0001670,,20220121000000,8,17.09,18.46
QGYYNHOI-03-2022-0001671,,20220121000000,23,12.07,14.85
QGYYNHOI-03-2022-0001672,,20220121000000,8,25.21,27.23
QGYYNHOI-03-2022-0001673,,20220121000000,8,11.66,12.59
QGYYNHOI-03-2022-0001674,,20220121000000,8,19.10,20.63
QGYYNHOI-03-2022-0001675,,20220121000000,8,28.24,30.50
QGYYNHOI-03-2022-0001676,,20220121000000,8,13.53,14.61
QGYYNHOI-03-2022-0001677,,20220121000000,8,15.80,17.06
QGYYNHOI-03-2022-0001678,,20220121000000,8,12.30,13.28
QGYYNHOI-03-2022-0001679,,20220121000000,8,13.69,14.78
QGYYNHOI-03-2022-0001680,,20220121000000,8,22.61,24.42
QGYYNHOI-03-2022-0001681,,20220121000000,8,19.80,21.38
QGYYNHOI-03-2022-0001682,,20220121000000,8,28.09,30.34
QGYYNHOI-03-2022-0001683,,20220121000000,8,16.53,17.85
QGYYNHOI-03-2022-0001684,,20220121000000,8,12.43,13.42
QGYYNHOI-03-2022-0001685,,20220121000000,8,11.13,12.02
QGYYNHOI-03-2022-0001686,,20220121000000,8,11.95,12.91
QGYYNHOI-03-2022-0001687,,20220121000000,8,12.05,13.01
QGYYNHOI-03-2022-0001688,,20220121000000,8,19.99,21.59
QGYYNHOI-03-2022-0001689,,20220121000000,8,11.67,12.60
QGYYNHOI-03-2022-0001690,,20220122000000,8,17.66,19.07
QGYYNHOI-03-2022-0001691,,20220122000000,8,14.89,16.08
QGYYNHOI-03-2022-0001692,,20220122000000,8,35.48,38.32
QGYYNHOI-03-2022-0001693,,20220122000000,8,18.81,20.31
QGYYNHOI-03-2022-0001694,,20220122000000,8,27.30,29.48
QGYYNHOI-03-2022-0001695,,20220122000000,8,15.31,16.54
QGYYNHOI-03-2022-0001696,,20220122000000,8,17.35,18.74
QGYYNHOI-03-2022-0001697,,20220122000000,8,17.09,18.46
QGYYNHOI-03-2022-0001698,,20220122000000,8,119.31,128.85
QGYYNHOI-03-2022-0001699,,20220122000000,8,34.80,37.58
QGYYNHOI-03-2022-0001700,,20220122000000,8,33.68,36.37
QGYYNHOI-03-2022-0001701,,20220122000000,8,19.02,20.54
QGYYNHOI-03-2022-0001702,,20220122000000,8,24.63,26.60
QGYYNHOI-03-2022-0001703,,20220122000000,8,20.21,21.83
QGYYNHOI-03-2022-0001704,,20220122000000,8,17.52,18.92
QGYYNHOI-03-2022-0001705,,20220122000000,8,16.32,17.63
QGYYNHOI-03-2022-0001706,,20220122000000,8,36.56,39.49
QGYYNHOI-03-2022-0001707,,20220122000000,8,13.39,14.46
QGYYNHOI-03-2022-0001708,,20220122000000,8,44.45,48.01
QGYYNHOI-03-2022-0001709,,20220122000000,8,28.47,30.75
